web-scraper-order,web-scraper-start-url,orga-link,orga-link-href,name,adresse,creation,type,codepostal
"1641920117-126","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","DR DESIGN - 878957414 / 00013","https://www.infogreffe.fr/entreprise-societe/878957414-dr-design-140219B014410000.html","DR DESIGN
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                ESPACE CONQUÉRANT 3 PLACE JEAN NOUZILLE 
                                                
                                                    
                                                        14000 CAEN
                                                        
                                                            Voir le plan","Immatriculée le 07/11/2019.","Société à responsabilité limitée","14000 CAEN
                                                        
                                                            Voir le plan"
"1641920144-133","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","HORSIZ - 852731173 / 00013","https://www.infogreffe.fr/entreprise-societe/852731173-horsiz-140719B003740000.html","HORSIZ
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                150 AVENUE DE LA RÉPUBLIQUE 
                                                
                                                    
                                                        14800 DEAUVILLE
                                                        
                                                            Voir le plan","Immatriculée le 25/07/2019.","Société par actions simplifiée","14800 DEAUVILLE
                                                        
                                                            Voir le plan"
"1641920124-128","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","LIMENGO - 883595613 / 00026","https://www.infogreffe.fr/entreprise-societe/883595613-limengo-140220B010920000.html","LIMENGO
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                CAMPUS EFFISCIENCE 8 RUE LÉOPOLD SÉDAR SENGHOR 
                                                
                                                    
                                                        14460 COLOMBELLES
                                                        
                                                            Voir le plan","Immatriculée le 28/08/2020.","Société par actions simplifiée","14460 COLOMBELLES
                                                        
                                                            Voir le plan"
"1641920290-170","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","BAZANDO - 501417307 / 00029","https://www.infogreffe.fr/entreprise-societe/501417307-bazando-140207B009930000.html","BAZANDO
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                2 RUE JEAN PERRIN 
                                                
                                                    
                                                        14460 COLOMBELLES
                                                        
                                                            Voir le plan","Immatriculée le 13/12/2007.","Société par actions simplifiée","14460 COLOMBELLES
                                                        
                                                            Voir le plan"
"1641919999-95","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","Du Coté De Chez Soi - 879729135 / 00019","https://www.infogreffe.fr/entreprise-societe/879729135-du-cot-de-chez-soi-140219B016170000.html","Du Coté De Chez Soi
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                2 CHEMIN DES PLANCHES 
                                                
                                                    
                                                        14480 PONTS SUR SEULLES
                                                        
                                                            Voir le plan","Immatriculée le 12/12/2019.","Société par actions simplifiée à associé unique","14480 PONTS SUR SEULLES
                                                        
                                                            Voir le plan"
"1641919838-50","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","PHAESTOS IT GLOBAL SERVICES - 901709279 / 00011","https://www.infogreffe.fr/entreprise-societe/901709279-phaestos-it-global-services-140221B012150000.html","PHAESTOS IT GLOBAL SERVICES
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                LA FOLIE COUVRECHEF 22 RUE DES TISSERANDS 
                                                
                                                    
                                                        14000 CAEN
                                                        
                                                            Voir le plan","Immatriculée le 26/07/2021.","Société par actions simplifiée à associé unique","14000 CAEN
                                                        
                                                            Voir le plan"
"1641920308-175","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","PRODOLOG - 879821494 / 00017","https://www.infogreffe.fr/entreprise-societe/879821494-prodolog-140219B016390000.html","PRODOLOG
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                5 RUE LOUIS BRAILLE 
                                                
                                                    
                                                        14500 VIRE NORMANDIE
                                                        
                                                            Voir le plan","Immatriculée le 16/12/2019.","Société par actions simplifiée à associé unique","14500 VIRE NORMANDIE
                                                        
                                                            Voir le plan"
"1641920317-178","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","EKICO - 839261187 / 00018","https://www.infogreffe.fr/entreprise-societe/839261187-ekico-140218B005010000.html","EKICO
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                17 RUE CLAUDE BLOCH 
                                                
                                                    
                                                        14000 CAEN
                                                        
                                                            Voir le plan","Immatriculée le 26/04/2018.","Société par actions simplifiée","14000 CAEN
                                                        
                                                            Voir le plan"
"1641920164-138","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","SOLUTYVE - 487816761 / 00026","https://www.infogreffe.fr/entreprise-societe/487816761-solutyve-140706B000020000.html","SOLUTYVE
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                19 RUE DU CARMEL 
                                                
                                                    
                                                        14100 LISIEUX
                                                        
                                                            Voir le plan","Immatriculée le 05/01/2006.","Société à responsabilité limitée","14100 LISIEUX
                                                        
                                                            Voir le plan"
"1641919911-70","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","DOSCAAL - 832518302 / 00019","https://www.infogreffe.fr/entreprise-societe/832518302-doscaal-140217B012270000.html","DOSCAAL
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                11 RUE MIREILLE 
                                                
                                                    
                                                        14000 CAEN
                                                        
                                                            Voir le plan","Immatriculée le 13/10/2017.","Société à responsabilité limitée à associé unique","14000 CAEN
                                                        
                                                            Voir le plan"
"1641919670-5","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","Agence SPS Web - 885040923 / 00025","https://www.infogreffe.fr/entreprise-societe/885040923-agence-sps-web-140720B002580000.html","Agence SPS Web
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                15 RUE HENRY CHÉRON 
                                                
                                                    
                                                        14100 LISIEUX
                                                        
                                                            Voir le plan","Immatriculée le 09/07/2020.","Société à responsabilité limitée à associé unique","14100 LISIEUX
                                                        
                                                            Voir le plan"
"1641920397-198","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","COBOT IT - 898306220 / 00010","https://www.infogreffe.fr/entreprise-societe/898306220-cobot-it-140721B002420000.html","COBOT IT
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                445 CÔTE DE LA FRESNAYE 
                                                
                                                    
                                                        14600 PENNEDEPIE
                                                        
                                                            Voir le plan","Immatriculée le 16/04/2021.","Société par actions simplifiée à associé unique","14600 PENNEDEPIE
                                                        
                                                            Voir le plan"
"1641919989-92","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","FAB INFO - 879882249 / 00011","https://www.infogreffe.fr/entreprise-societe/879882249-fab-info-140219B016520000.html","FAB INFO
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                2 RUE DES HALLES 
                                                
                                                    
                                                        14700 FALAISE
                                                        
                                                            Voir le plan","Immatriculée le 17/12/2019.","Société par actions simplifiée à associé unique","14700 FALAISE
                                                        
                                                            Voir le plan"
"1641919982-90","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","CREATIVE SILVER - 501801831 / 00022","https://www.infogreffe.fr/entreprise-societe/501801831-creative-silver-140208B000140000.html","CREATIVE SILVER
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                17T ROUTE DE BASLY 
                                                
                                                    
                                                        14440 DOUVRES-LA-DÉLIVRANDE
                                                        
                                                            Voir le plan","Immatriculée le 08/01/2008.","Société par actions simplifiée à associé unique","14440 DOUVRES-LA-DÉLIVRANDE
                                                        
                                                            Voir le plan"
"1641920311-176","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","bras net app api - 852125921","https://www.infogreffe.fr/entreprise-societe/852125921-bras-net-app-api-140219B009150000.html","bras net app api
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                22 BIS RUE DE L'ÉGLISE 
                                                
                                                    
                                                        14190 GRAINVILLE-LANGANNERIE
                                                        
                                                            Voir le plan","Immatriculée le 03/07/2019.","Société par actions simplifiée à associé unique","14190 GRAINVILLE-LANGANNERIE
                                                        
                                                            Voir le plan"
"1641919919-72","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","onride tech - 882698723 / 00021","https://www.infogreffe.fr/entreprise-societe/882698723-onride-tech-140721B002460000.html","onride tech
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                82 RUE EUGÈNE COLAS 
                                                
                                                    
                                                        14800 DEAUVILLE
                                                        
                                                            Voir le plan","Immatriculée le 21/04/2021.","Société à responsabilité limitée","14800 DEAUVILLE
                                                        
                                                            Voir le plan"
"1641920237-156","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","NETENGO - 790150502 / 00017","https://www.infogreffe.fr/entreprise-societe/790150502-netengo-140212B013520000.html","NETENGO
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                3 PASSAGE DES JACOBINS 
                                                
                                                    
                                                        14000 CAEN
                                                        
                                                            Voir le plan","Immatriculée le 26/12/2012.","Société à responsabilité limitée","14000 CAEN
                                                        
                                                            Voir le plan"
"1641920267-164","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","LSV CONSEIL - 513156125 / 00033","https://www.infogreffe.fr/entreprise-societe/513156125-lsv-conseil-140710B001370000.html","LSV CONSEIL
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                ROUTE DE CALLENVILLE 
                                                
                                                    
                                                        14360 TROUVILLE-SUR-MER
                                                        
                                                            Voir le plan","Immatriculée le 15/04/2010.","Société par actions simplifiée à associé unique","14360 TROUVILLE-SUR-MER
                                                        
                                                            Voir le plan"
"1641919933-76","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","JLBIZ - 790234470 / 00017","https://www.infogreffe.fr/entreprise-societe/790234470-jlbiz-140213B000070000.html","JLBIZ
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                16 RUE DE L'AVENIR 
                                                
                                                    
                                                        14650 CARPIQUET
                                                        
                                                            Voir le plan","Immatriculée le 04/01/2013.","Société à responsabilité limitée à associé unique","14650 CARPIQUET
                                                        
                                                            Voir le plan"
"1641919673-6","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","BE MAP GUEST - 813916186 / 00014","https://www.infogreffe.fr/entreprise-societe/813916186-be-map-guest-140215B011520000.html","BE MAP GUEST
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                2B RUE EUGÉNIE 
                                                
                                                    
                                                        14000 CAEN
                                                        
                                                            Voir le plan","Immatriculée le 07/10/2015.","Société par actions simplifiée","14000 CAEN
                                                        
                                                            Voir le plan"
"1641920114-125","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","INGELISTIC - 803675685 / 00017","https://www.infogreffe.fr/entreprise-societe/803675685-ingelistic-140214B007720000.html","INGELISTIC
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                11 RUE ALFRED KASTLER 
                                                
                                                    
                                                        14000 CAEN
                                                        
                                                            Voir le plan","Immatriculée le 30/07/2014.","Société à responsabilité limitée","14000 CAEN
                                                        
                                                            Voir le plan"
"1641919877-61","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","ENVIRONOT - 879778306 / 00024","https://www.infogreffe.fr/entreprise-societe/879778306-environot-140719B005440000.html","ENVIRONOT
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                175 RUE PAUL BORIE 
                                                
                                                    
                                                        14290 LA VESPIÈRE-FRIARDEL
                                                        
                                                            Voir le plan","Immatriculée le 13/12/2019.","Société par actions simplifiée à associé unique","14290 LA VESPIÈRE-FRIARDEL
                                                        
                                                            Voir le plan"
"1641920389-196","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","6cure - 520799487 / 00035","https://www.infogreffe.fr/entreprise-societe/520799487-6cure-140210B002520000.html","6cure
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                701 RUE LÉON FOUCAULT 
                                                
                                                    
                                                        14200 HÉROUVILLE-SAINT-CLAIR
                                                        
                                                            Voir le plan","Immatriculée le 11/03/2010.","Société par actions simplifiée","14200 HÉROUVILLE-SAINT-CLAIR
                                                        
                                                            Voir le plan"
"1641920110-124","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","KAPEHOS - 841008394 / 00030","https://www.infogreffe.fr/entreprise-societe/841008394-kapehos-140218B008170000.html","KAPEHOS
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                ZONE LE CITIS 11 IMPASSE LES INITIALIS 
                                                
                                                    
                                                        14200 HÉROUVILLE-SAINT-CLAIR
                                                        
                                                            Voir le plan","Immatriculée le 13/07/2018.","Société par actions simplifiée","14200 HÉROUVILLE-SAINT-CLAIR
                                                        
                                                            Voir le plan"
"1641919907-69","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","Salient-DB - 824675417 / 00011","https://www.infogreffe.fr/entreprise-societe/824675417-salient-db-140717B000030000.html","Salient-DB
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                17 RUE HAMELIN 
                                                
                                                    
                                                        14130 PONT-L'ÉVÊQUE
                                                        
                                                            Voir le plan","Immatriculée le 03/01/2017.","Société par actions simplifiée à associé unique","14130 PONT-L'ÉVÊQUE
                                                        
                                                            Voir le plan"
"1641919740-25","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","FREE TIPS - 881629539 / 00019","https://www.infogreffe.fr/entreprise-societe/881629539-free-tips-140220B002520000.html","FREE TIPS
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                646 ROUTE DES DIGUES 
                                                
                                                    
                                                        14123 FLEURY-SUR-ORNE
                                                        
                                                            Voir le plan","Immatriculée le 17/02/2020.","Société par actions simplifiée à associé unique","14123 FLEURY-SUR-ORNE
                                                        
                                                            Voir le plan"
"1641920297-172","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","PELICAN SOLUTIONS - 813820511 / 00026","https://www.infogreffe.fr/entreprise-societe/813820511-pelican-solutions-140215B011300000.html","PELICAN SOLUTIONS
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                9 RUE RAYMONDE BAIL 
                                                
                                                    
                                                        14000 CAEN
                                                        
                                                            Voir le plan","Immatriculée le 30/09/2015.","Société par actions simplifiée à associé unique","14000 CAEN
                                                        
                                                            Voir le plan"
"1641920204-148","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","KANTA - 889924320 / 00019","https://www.infogreffe.fr/entreprise-societe/889924320-kanta-140220B013190000.html","KANTA
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                304 BOULEVARD BELLES PORTES 
                                                
                                                    
                                                        14200 HÉROUVILLE-SAINT-CLAIR
                                                        
                                                            Voir le plan","Immatriculée le 13/10/2020.","Société par actions simplifiée","14200 HÉROUVILLE-SAINT-CLAIR
                                                        
                                                            Voir le plan"
"1641920102-122","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","MAGALI MAZENQ INTERVENTIONS GRAPHIQUES - 830217311 / 00026","https://www.infogreffe.fr/entreprise-societe/830217311-magali-mazenq-interventions-graphiques-140219B002540000.html","MAGALI MAZENQ INTERVENTIONS GRAPHIQUES
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                5 RUE DES REMPARTS VIRE
                                                
                                                    
                                                        14500 VIRE NORMANDIE
                                                        
                                                            Voir le plan","Immatriculée le 22/02/2019.","Société à responsabilité limitée à associé unique","14500 VIRE NORMANDIE
                                                        
                                                            Voir le plan"
"1641920023-101","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","OptimumWeb - 521731562 / 00018","https://www.infogreffe.fr/entreprise-societe/521731562-optimumweb-140210B003770000.html","OptimumWeb
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                21 RUE GUILLAUME LE CONQUÉRANT 
                                                
                                                    
                                                        14000 CAEN
                                                        
                                                            Voir le plan","Immatriculée le 14/04/2010.","Société à responsabilité limitée","14000 CAEN
                                                        
                                                            Voir le plan"
"1641919689-11","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","OKUPY - 839367695 / 00013","https://www.infogreffe.fr/entreprise-societe/839367695-okupy-140718B002090000.html","OKUPY
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                40 RUE CLIVE HARRIS 
                                                
                                                    
                                                        14600 HONFLEUR
                                                        
                                                            Voir le plan","Immatriculée le 03/05/2018.","Société par actions simplifiée","14600 HONFLEUR
                                                        
                                                            Voir le plan"
"1641920188-144","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","Téïcée - 500145156 / 00047","https://www.infogreffe.fr/entreprise-societe/500145156-t-c-e-140207B007570000.html","Téïcée
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                153 RUE GÉRALDINE MOCK 
                                                
                                                    
                                                        14760 BRETTEVILLE-SUR-ODON
                                                        
                                                            Voir le plan","Immatriculée le 27/09/2007.","Société à responsabilité limitée","14760 BRETTEVILLE-SUR-ODON
                                                        
                                                            Voir le plan"
"1641919795-40","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","ECS - 511794976 / 00023","https://www.infogreffe.fr/entreprise-societe/511794976-ecs-140209B003470000.html","ECS
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                CITIS 1 IMPASSE INITIALIS 
                                                
                                                    
                                                        14200 HÉROUVILLE-SAINT-CLAIR
                                                        
                                                            Voir le plan","Immatriculée le 15/04/2009.","Société à responsabilité limitée à associé unique","14200 HÉROUVILLE-SAINT-CLAIR
                                                        
                                                            Voir le plan"
"1641919792-39","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","PIXELEA - 524398104 / 00025","https://www.infogreffe.fr/entreprise-societe/524398104-pixelea-140210B008610000.html","PIXELEA
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                4 AVENUE DE CAMBRIDGE 
                                                
                                                    
                                                        14200 HÉROUVILLE-SAINT-CLAIR
                                                        
                                                            Voir le plan","Immatriculée le 23/08/2010.","Société à responsabilité limitée à associé unique","14200 HÉROUVILLE-SAINT-CLAIR
                                                        
                                                            Voir le plan"
"1641920229-154","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","IDEL'ORDO - 838947315 / 00019","https://www.infogreffe.fr/entreprise-societe/838947315-idel-ordo-140218B004600000.html","IDEL'ORDO
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                34 RUE DES ECORDIÈRES 
                                                
                                                    
                                                        14970 BÉNOUVILLE
                                                        
                                                            Voir le plan","Immatriculée le 19/04/2018.","Société par actions simplifiée","14970 BÉNOUVILLE
                                                        
                                                            Voir le plan"
"1641919659-2","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","GESTMYCAB - 827526807 / 00017","https://www.infogreffe.fr/entreprise-societe/827526807-gestmycab-140217B001870000.html","GESTMYCAB
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                18 RUE BAILEY 
                                                
                                                    
                                                        14000 CAEN
                                                        
                                                            Voir le plan","Immatriculée le 07/02/2017.","Société par actions simplifiée","14000 CAEN
                                                        
                                                            Voir le plan"
"1641919666-4","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","SOLARSTEIN - 844588350 / 00018","https://www.infogreffe.fr/entreprise-societe/844588350-solarstein-140218B014820000.html","SOLARSTEIN
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                FORUM DIGITAL 8 RUE LÉOPOLD SÉDAR SENGHOR 
                                                
                                                    
                                                        14460 COLOMBELLES
                                                        
                                                            Voir le plan","Immatriculée le 13/12/2018.","Société par actions simplifiée","14460 COLOMBELLES
                                                        
                                                            Voir le plan"
"1641919762-31","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","DEV & CLIC - 843453218 / 00029","https://www.infogreffe.fr/entreprise-societe/843453218-dev-clic-140218B012750000.html","DEV & CLIC
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                6-8 RUE LÉOPOLD SÉDAR SENGHOR 
                                                
                                                    
                                                        14460 COLOMBELLES
                                                        
                                                            Voir le plan","Immatriculée le 29/10/2018.","Société par actions simplifiée","14460 COLOMBELLES
                                                        
                                                            Voir le plan"
"1641919975-88","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","BHSC INFORMATIQUE - 530106137 / 00017","https://www.infogreffe.fr/entreprise-societe/530106137-bhsc-informatique-140211B001400000.html","BHSC INFORMATIQUE
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                65 RUE JOSEPH PHILIPPON 
                                                
                                                    
                                                        14000 CAEN
                                                        
                                                            Voir le plan","Immatriculée le 08/02/2011.","Société à responsabilité limitée à associé unique","14000 CAEN
                                                        
                                                            Voir le plan"
"1641920197-146","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","WEB-INTERACTIVE - 438898926 / 00037","https://www.infogreffe.fr/entreprise-societe/438898926-web-interactive-140201B004230000.html","WEB-INTERACTIVE
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                IMMEUBLE COPERNIC 18 RUE DU QUADRANT 
                                                
                                                    
                                                        14123 FLEURY-SUR-ORNE
                                                        
                                                            Voir le plan","Immatriculée le 17/08/2001.","Société à responsabilité limitée","14123 FLEURY-SUR-ORNE
                                                        
                                                            Voir le plan"
"1641919756-29","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","SEFIP INFORMATIQUE - 333747343 / 00064","https://www.infogreffe.fr/entreprise-societe/333747343-sefip-informatique-140285B002540000.html","SEFIP INFORMATIQUE
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                205 RUE DE BAYEUX 
                                                
                                                    
                                                        14000 CAEN
                                                        
                                                            Voir le plan","Immatriculée le 22/10/1985.","Société à responsabilité limitée","14000 CAEN
                                                        
                                                            Voir le plan"
"1641919809-43","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","LL09 - 898622303 / 00011","https://www.infogreffe.fr/entreprise-societe/898622303-ll09-140221B006920000.html","LL09
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                37 ROUTE DE LA BLANCHE MAISON COULVAIN
                                                
                                                    
                                                        14310 SEULLINE
                                                        
                                                            Voir le plan","Immatriculée le 26/04/2021.","Société à responsabilité limitée à associé unique","14310 SEULLINE
                                                        
                                                            Voir le plan"
"1641919696-13","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","LIMMAO - 833261241 / 00024","https://www.infogreffe.fr/entreprise-societe/833261241-limmao-140217B013210000.html","LIMMAO
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                39 RUE L'EGLISE 
                                                
                                                    
                                                        14000 CAEN
                                                        
                                                            Voir le plan","Immatriculée le 13/11/2017.","Société par actions simplifiée","14000 CAEN
                                                        
                                                            Voir le plan"
"1641919888-64","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","Owea - 823682257 / 00014","https://www.infogreffe.fr/entreprise-societe/823682257-owea-140216B012050000.html","Owea
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                10 RUE DE L'UNITÉ 
                                                
                                                    
                                                        14610 ÉPRON
                                                        
                                                            Voir le plan","Immatriculée le 16/11/2016.","Société à responsabilité limitée à associé unique","14610 ÉPRON
                                                        
                                                            Voir le plan"
"1641919954-82","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","TEKNOO SOFTWARE - 890666985 / 00019","https://www.infogreffe.fr/entreprise-societe/890666985-teknoo-software-140220B014390000.html","TEKNOO SOFTWARE
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                161 RUE D'AUGE 
                                                
                                                    
                                                        14000 CAEN
                                                        
                                                            Voir le plan","Immatriculée le 04/11/2020.","Société par actions simplifiée à associé unique","14000 CAEN
                                                        
                                                            Voir le plan"
"1641919686-10","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","ALL BIZZNET - 438665432 / 00011","https://www.infogreffe.fr/entreprise-societe/438665432-all-bizznet-140201B003770000.html","ALL BIZZNET
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                8 ALLÉE DES EPIS 
                                                
                                                    
                                                        14200 HÉROUVILLE-SAINT-CLAIR
                                                        
                                                            Voir le plan","Immatriculée le 25/07/2001.","Société à responsabilité limitée","14200 HÉROUVILLE-SAINT-CLAIR
                                                        
                                                            Voir le plan"
"1641920412-202","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","CARREFOUR SYSTEMES D'INFORMATION - 433929114 / 00018","https://www.infogreffe.fr/entreprise-societe/433929114-carrefour-systemes-d-information-140200B006530000.html","CARREFOUR SYSTEMES D'INFORMATION
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                ZONE INDUSTRIELLE ROUTE DE PARIS 
                                                
                                                    
                                                        14120 MONDEVILLE
                                                        
                                                            Voir le plan","Immatriculée le 22/12/2000.","Société par actions simplifiée à associé unique","14120 MONDEVILLE
                                                        
                                                            Voir le plan"
